filename,width,height,class,xmin,ymin,xmax,ymax
ezgif-frame-167_png.rf.290a3c9cefc7ee549589741c8ef22de2.jpg,848,478,Honeybee,468,355,545,436
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,374,103,420,140
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,530,185,571,218
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,402,193,461,230
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,542,255,565,272
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,589,267,630,295
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,503,275,542,313
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,448,321,487,363
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,511,361,538,391
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,369,377,416,406
ezgif-frame-187_png.rf.a11ccaeeb4d0cd06510f5fd93b5b2817.jpg,848,478,Honeybee,610,45,645,86
videoplayback_mp4-9_jpg.rf.7a8a1506035ff69a2adb061cf3c8d5a4.jpg,1920,1080,Honeybee,1467,103,1505,151
videoplayback_mp4-9_jpg.rf.7a8a1506035ff69a2adb061cf3c8d5a4.jpg,1920,1080,Honeybee,1367,246,1419,279
videoplayback_mp4-9_jpg.rf.7a8a1506035ff69a2adb061cf3c8d5a4.jpg,1920,1080,Honeybee,1318,418,1361,453
videoplayback_mp4-9_jpg.rf.7a8a1506035ff69a2adb061cf3c8d5a4.jpg,1920,1080,Honeybee,846,33,880,79
videoplayback_mp4-9_jpg.rf.7a8a1506035ff69a2adb061cf3c8d5a4.jpg,1920,1080,Honeybee,1771,613,1809,651
videoplayback_mp4-9_jpg.rf.7a8a1506035ff69a2adb061cf3c8d5a4.jpg,1920,1080,Honeybee,1246,909,1319,954
videoplayback_mp4-9_jpg.rf.7a8a1506035ff69a2adb061cf3c8d5a4.jpg,1920,1080,Honeybee,539,77,583,113
videoplayback_mp4-9_jpg.rf.7a8a1506035ff69a2adb061cf3c8d5a4.jpg,1920,1080,Honeybee,913,952,954,1016
videoplayback_mp4-44_jpg.rf.0dc9bdf4c03caa849324435e777e246f.jpg,1920,1080,Honeybee,411,18,511,185
videoplayback_mp4-44_jpg.rf.0dc9bdf4c03caa849324435e777e246f.jpg,1920,1080,Honeybee,752,67,854,136
videoplayback_mp4-44_jpg.rf.0dc9bdf4c03caa849324435e777e246f.jpg,1920,1080,Honeybee,1297,983,1398,1074
videoplayback_mp4-44_jpg.rf.0dc9bdf4c03caa849324435e777e246f.jpg,1920,1080,Honeybee,1640,1018,1718,1080
videoplayback_mp4-44_jpg.rf.0dc9bdf4c03caa849324435e777e246f.jpg,1920,1080,Honeybee,1821,1031,1914,1080
videoplayback_mp4-44_jpg.rf.0dc9bdf4c03caa849324435e777e246f.jpg,1920,1080,Honeybee,571,1036,625,1079
videoplayback_mp4-44_jpg.rf.0dc9bdf4c03caa849324435e777e246f.jpg,1920,1080,Honeybee,913,1039,984,1080
